Comment,Designator,Description,Footprint,LCSC Part
0.1 uF,"C1, C3, C4, C5, C6, C8, C10, C16, C21, C22, C32, C33, C34, C35",CAP CER 100NF 10V X7R 0402,CAP 0402_1005,C1525
10 uF,C2,CAP CER 10UF 10V X5R 0402,CAP 0402_1005,C15525
1 uF,C7,CAP CER 1UF 10V X5R 0402,CAP 0402_1005,C52923
1uF +/-40% 50V,"C9, C11, C14, C17, C25","Chip Capacitor, 1µF +/-40%, 50V, 0603, Thickness 1 mm",CAPC0603(1608)100_L,C15849
10 uF,"C15, C19, C23, C24, C26",CAP CER 10UF 16V X5R 0603,MURATA GRT188 0603_1608,C19702
2.2 uF,C18,CAP CER 2.2UF 10V X5R 0603,CAP 0603_1608,C49326366
100pF,C20,CAP CER 100PF 25V NP0 0402,CAP 0402_1005,C1546
4.7 uF,C27,CAP CER 4.7UF 10V X7S 0603,MURATA GRM188 0603_1608,C19666
0.047 uF,"C28, C29, C30, C31",CAP CER 0402 47NF 25V X7R 10%,CAP 0402_1005,C82219
12 pF,"C36, C37",CAP CER 12PF 50V C0G/NP0 0402,CAP 0402_1005,C1547
SFH 7018A,"D1, D2","Led, Hr/ir/tg, 655/940/532NM, 120DEG Rohs Compliant: Yes",SFH 7018A-Footprint-1,C24570310
LED Blue,"D3, D4",LED GREEN CLEAR 0402 SMD,LED 0402_1005 GREEN,C22355736
PGB1010402KR,"D5, D6, D7, D8",TVS DIODE 12V 250V 0402,FP-PGB1-0402-MFG,C10676
SFH2705,"D9, D10, D11, D12",Photodiode with wide range of wavelength,DFN175P215X60-2N,C6672359
217179-0001,J1,CONN RCP USB2.0 TYP C 24P SMD RA,FP-2171790001-MFG,C3197684
BM02B-ACHLKS-GAN-ETF(LF)(SN),J2,CONN HEADER SMD R/A 2POS 1.2MM,FP-BM02B-ACHLKS-GAN-ETF_L-MFG,C594367
M50-3530542,J3,"1.27mm (0.05) Pitch SIL Vertical Throughboard Pin Header, selective gold + tin, 5 contacts",HARWIN_M50-3530542,C6293302
CIGT201610EH2R2MNE,"L1, L2",Description,IND_CIGT2016_SAM,C307626
5.1 kOhms,"R1, R2, R12, R13",RES 5.1K OHM 1% 1/4W 0402,RES 0402_1005,C25905
10 kOhms,"R3, R4, R5, R8, R11, R14, R19, R20, R21, R22, R23, R24, R25",RES 10K OHM 0.1% 1/10W 0402,RES 0402_1005,C844452
47 kOhms,"R6, R7",RES 47K OHM 1% 1/16W 0402,RES 0402_1005,C25792
100 kOhms,"R9, R10, R16, R17",RES 100K OHM 1% 1/5W 0402,YAGEO RES 0402_1005,C25741
4.7 kOhms,"R15, R26, R27, R28",RES SMD 4.7K OHM 1% 1/16W 0402,YAGEO RES 0402_1005,C25900
1 kOhms,R18,RES SMD 1K OHM 5% 1/16W 0402,YAGEO RES 0402_1005,C11702
Switch,SW1,,,
LIS2DS12TR,U1,ACCEL 2-16G I2C/SPI 12LGA,FP-LGA12_8566956-MFG,C915682
NRF52833-QDAA-R7,U2,Description,QFN40_5X5_DQ_NOR,C3007767
NPM1304-QEAA-R7,U3,NPM1304 POWER MANAGEMENT IC,QFN50P500X500X90-33N,C49449665
RV-3028-C7 32.768kHz 1ppm TA QC,U4,Real Time Clock Serial 2byte Clock/Calendar/Alarm/Timer/Battery Backup 8-Pin CSMD T/R,FP-RV-3028-C7_32_768kHz_1-MFG,C3019759
AS7058-BWLM,U5,AS7058 Series 1.8 V PPG/ECG/BioZ/EDA Vital Sign Monitoring IC - WLCSP-42,BGA42C40P6X7_254X282X60,C23782775
IS25WP01GJ-RMLE-TY,U6,"Flash Memory, Serial NOR, 1 Gbit, 128M x 8bit, QPI, SPI, SOIC, 16 Pins",SOIC127P1030X265-16N,
USBLC6-2SC6,U7,5A 17V 6V Unidirectional 5.25V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS,STM-SOT23-6L_V,C2827654
32MHz,Y1,CRYSTAL 32.0000MHZ 8PF SMD,ABRACON ABM10,C124330
